Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS0609,01-Dec-95,Boatsroom Voe,HU492710,Shetland,No,N/A,,,,,Fish,Seawater,,449200,1171000,,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
SS0622,23-Jan-01,Booth,HU402379,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,440200,1137900,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,"N/A, Common mussel"
FS0210,01-Oct-88,Bothan Bay,NM760600,Highland,No,N/A,,,,,Fish,Seawater,,176000,760000,,Highland,Mowi Scotland Ltd,"N/A, Atlantic Salmon"
FS0477,01-Jan-89,Bow of Hascosay,HU544923,Shetland,Yes,Yell Shorebase,Mid Yell,,ZE2 9BN,,Fish,Seawater,Low,454400,1192300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,"Atlantic Salmon, N/A, Lumpsucker"
FS0260,11-Dec-85,Braevallich Farm,NM955080,Argyll and Bute,Yes,Braevallich Farm,By Dalmally,Argyll,PA33 1BU,,Fish,Freshwater,Low,195500,708000,Not in a management area,Strathclyde,Dawnfresh Farming Ltd,"N/A, Rainbow Trout"
SS0915,17-Oct-17,Brakkatun Beach,HU344560,Shetland,Yes,Brakkatun,Aith Bixter,,ZE2 9ND,,Shellfish,Seawater,Low,434400,1156000,4a - South St Magnus Bay,Shetland,I.B.A Fishing Ltd,"N/A, Common periwinkle"
SS0868,23-Aug-13,Brandy Ayre,HU244462,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,424400,1146200,"3b - Gruting, Vaila, Walls",Shetland,Shetland Mussels Ltd,"Common mussel, N/A"
FS0607,01-Jan-89,Breigeo  (Offshore),HU357465,Shetland,No,N/A,,,,,Fish,Seawater,Medium,435700,1146500,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Lumpsucker, N/A, Wrasse, Atlantic Salmon"
FS0915,21-May-98,Breigeo Inshore,HU357473,Shetland,No,N/A,,,,,Fish,Seawater,Medium,435700,1147300,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Wrasse, Lumpsucker, Atlantic Salmon, N/A"
SS0838,23-Nov-11,Brindister Inshore,HU285575,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,High,428500,1157500,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,"N/A, Common mussel"
