Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS0842,31-Mar-99,Evanachan Broodstock,NR944866,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Low,194400,686600,,Strathclyde,Otter Ferry Seafish  Ltd,"Halibut, N/A"
FS0843,31-Mar-99,Evanachan Marine Hatchery,NR945866,Argyll and Bute,Yes,Otter Ferry,Argyll,Argyll,PA21 2DH,,Fish,Seawater,Medium,194500,686600,19a - Fyne,Strathclyde,Otter Ferry Seafish  Ltd,"Halibut, Wrasse, Lumpsucker, N/A"
FS0001,31-Mar-99,Evanachan Salt Water,NR945867,Argyll and Bute,Yes,Otter Ferry,Argyll,Argyll,PA21 2DH,,Fish,Seawater,High,194500,686700,19a - Fyne,Strathclyde,Otter Ferry Seafish  Ltd,"Halibut, Lumpsucker, N/A, Wrasse, Atlantic Salmon"
FS0858,20-Feb-98,Fada,NB976076,Highland,Yes,Summer Isles,By Ullapool,Wester Ross,IV26 2YN,,Fish,Seawater,Medium,197600,907600,10b - Loch Broom,Highland,Scottish Sea Farms Ltd,"Wrasse, N/A, Atlantic Salmon, Lumpsucker"
SS0490,04-Aug-92,Faingmor Bay,NG730604,Highland,Yes,Fearnmore ,Loch Torridon,,-,,Shellfish,Seawater,Low,173000,860400,11a - Torridon,Highland,Fearnmore Shellfish,"N/A, King scallop"
SS0951,11-Feb-21,Fairlie Quay Marina,NS206562,North Ayrshire,No,1 Allanton Park Terrace,Fairlie,North Ayrshire,KA29 0AW,,Shellfish,Seawater,High,220600,656200,Not in a management area,Strathclyde,Clyde Porpoise CIC,"Flat or native oyster, N/A"
FS1017,20-Feb-01,Fara West,ND321953,Orkney,Yes,Lyness,Hoy,Orkney,KW16 3NT,,Fish,Seawater,Medium,332100,995300,8c - Scapa Flow,Orkney,Cooke Aquaculture Scotland Ltd,"Lumpsucker, N/A, Atlantic Salmon"
SS0759,02-May-06,Fearna,NS060805,Argyll and Bute,Yes,The Point Ardtaraig Estate,Loch Striven,Argyll,PA23 8RG,,Shellfish,Seawater,Medium,206000,680500,19b - Kyles of Bute,Strathclyde,Loch Striven Mussel Farms Ltd,"Common mussel, N/A"
SS0826,15-Dec-10,Firth of Forth Lobster Hatchery,NT554856,East Lothian,Yes,North Berwick Harbour,,,EH39 4SS,,Shellfish,Seawater,Low,355400,685600,Not in a management area,Lothian,The Firth of Forth Lobster Hatchery,"N/A, European lobster"
FS1045,27-Aug-02,Fish Holm,HU485737,Shetland,No,N/A,,,,,Fish,Seawater,High,448500,1173700,,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
FS0427,01-Jan-88,Fishnish (A),NM638425,Argyll and Bute,Yes,Fishnish,Isle of Mull,Argyll,-,,Fish,Seawater,Medium,163800,742500,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,"Lumpsucker, Wrasse, N/A, Atlantic Salmon"
FS0694,19-Sep-91,Fishnish (B),NM652426,Argyll and Bute,Yes,Fishnish,Isle of Mull,Argyll,-,,Fish,Seawater,Medium,165200,742600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,"Lumpsucker, N/A, Wrasse, Atlantic Salmon"
FS0696,19-Sep-91,Fiunary,NM592476,Highland,Yes,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,159200,747600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Scottish Sea Farms Ltd,"Wrasse, Lumpsucker, N/A, Atlantic Salmon"
FS1028,21-Nov-01,Fjords Processing,ND354949,Orkney,No,Flotta,Orkney,Orkney,KW16 3NP,,Fish,Freshwater and Seawater,Low,335400,994900,8c - Scapa Flow,Orkney,Fjords Processing Ltd,"Zebrafish, N/A, Sheepshead minnow, Turbot"
FS1275,12-Sep-13,Flaeshins,HU608943,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Medium,460800,1194300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,"Lumpsucker, N/A, Atlantic Salmon"
FS0935,06-Nov-98,Flotta,HU371464,Shetland,No,N/A,,,,,Fish,Seawater,High,437100,1146400,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Wrasse, N/A, Lumpsucker, Atlantic Salmon"
FS0936,06-Nov-98,Foreholm,HU355450,Shetland,No,West Banks,South Whiteness,,ZE2 9LL,,Fish,Seawater,Medium,435500,1145000,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Lumpsucker, Wrasse, N/A, Atlantic Salmon"
FS0511,08-May-90,Forgue,NJ622458,Aberdeenshire,Yes,Forgue Fish Farm,Inverkeithney,,AB5 47XD,,Fish,Freshwater,Medium,362200,845800,Not in a management area,Grampian,Forgue Fish Farm,"Arctic Charr, N/A, Rainbow Trout, Brown Trout and sea trout, Brook charr/ trout, Tiger trout"
FS0911,01-Jan-98,Forrester's,NM542515,Argyll and Bute,No,N/A,,,,,Fish,Seawater,,154200,751500,,Strathclyde,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
FS1329,15-Jan-19,Forth Foods 1 Tilapia Rearing,NT562774,East Lothian,No,Markle Mains Farm,East Fortune,East Lothian,EH40 3EB,,Fish,Freshwater,Low,356200,677400,Not in a management area,Lothian,Forth Foods Ltd,"N/A, Tilapia"
SS0677,01-Aug-02,Foulawick,HU375649,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,High,437500,1164900,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
FS0551,14-Oct-85,Frandy,NN947047,Perth and Kinross,Yes,Frandy Hatchery,Glen Devon,,FK14 7JZ,,Fish,Freshwater,Medium,294700,704700,Not in a management area,Tayside,Dawnfresh Farming Ltd,"Rainbow Trout, N/A"
SS0164,11-Dec-85,Fuam an Tolla (Site 2),NG205962,Western Isles,Yes,Lime Park,Scalpay,Western Isles,HS4 3XZ,,Shellfish,Seawater,Low,120500,896200,"5b - SE Lewis, E Harris",Western Isles,Seaforth Mussels,"N/A, Common mussel"
FS0567,28-Feb-95,Furnace,NN034001,Argyll and Bute,Yes,Furnace Quarry,Upper Loch Fyne,"Furnace , Argyll",PA32 8YA,,Fish,Seawater,Medium,203400,700100,19a - Fyne,Strathclyde,Bakkafrost Scotland,"Lumpsucker, Atlantic Salmon, Wrasse, N/A"
FS0339,25-Sep-91,Furnace (FW),NS025999,Argyll and Bute,Yes,Furnace Hatchery,Argyll,,PA32 8XN,,Fish,Freshwater,High,202500,699900,Not in a management area,Strathclyde,Cooke Aquaculture (Freshwater) Ltd,"N/A, Atlantic Salmon"
SS0874,06-Mar-14,Garbh Lingeigh,NF739031,Western Isles,Yes,27a Eoligarry,,,HS9 5YD,,Shellfish,Seawater,High,73900,803100,7c - Barra,Western Isles,Traigh Mhor Oysters,"Flat or native oyster, N/A, Pacific Oyster"
SS0801,08-Sep-08,Garvan,NM998778,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,199800,777800,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,"N/A, Common mussel"
FS1064,30-Jul-03,Gasay Island,NF800186,Western Isles,No,N/A,,,,,Fish,Seawater,Low,80000,818600,,Western Isles,Mowi Scotland Ltd,"N/A, Atlantic Salmon"
FS0839,01-Aug-94,Geasgill,NM435377,Argyll and Bute,Yes,Ulva Ferry,Argyll,Argyll,PA73 6LY,,Fish,Seawater,Medium,143500,737700,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,"Atlantic Salmon, Lumpsucker, N/A, Wrasse"
FS0885,28-Oct-96,Geisgeil (Tank Site),NC170410,Highland,Yes,Badcall Salmon House,"Scourie, Lairg",Sutherland,IV27 4TH,,Fish,Freshwater,Low,217000,941000,Not in a management area,Highland,Loch Duart Ltd,"N/A, Atlantic Salmon"
FS0063,28-Oct-96,Geisgeil Hatchery,NC171410,Highland,No,N/A,,,,,Fish,Freshwater,,217100,941000,,Highland,Loch Duart Ltd,"N/A, Atlantic Salmon"
FS1115,17-Jul-08,Geo of Valladale,HU292771,Shetland,No,N/A,,,,,Fish,Seawater,Medium,429200,1177100,4c - N St Magnus Bay,Shetland,Scottish Sea Farms Ltd,"N/A, Atlantic Salmon, Lumpsucker"
FS0562,25-May-93,Geocrab Hatchery,NG112905,Western Isles,Yes,Geocrab Mill,Geocrab,South Harris,HS3 3HB,,Fish,Freshwater,Medium,111200,890500,Not in a management area,Western Isles,Bakkafrost Scotland,"Atlantic Salmon, N/A"
FS1086,14-Dec-04,Geocrab Incubation Hatchery,NG112906,Western Isles,No,Geocrab Mill,Geocrab,South Harris,HS3 3HB,,Fish,Freshwater,High,111200,890600,,Western Isles,Bakkafrost Scotland,"Atlantic Salmon, N/A"
FS0563,25-May-93,Geocrab Seafarm,NG118902,Western Isles,No,N/A,,,,,Fish,Seawater,,111800,890200,,Western Isles,Bakkafrost Scotland,"Atlantic Salmon, N/A"
FS0883,01-Oct-96,Ghlas Mhor,NC063162,Highland,No,N/A,,,,,Fish,Seawater,Low,206300,916200,,Highland,Finfish Ltd,"Atlantic Salmon, N/A"
FS0652,16-Jul-91,Gibb Hatchery,NX399554,Dumfries and Galloway,No,Torhouse Trout Farm,Wigtown,,DG8 9DJ,,Fish,Freshwater,Low,239900,555400,Not in a management area,Dumfries & Galloway,Galloway Fisheries Trust,"N/A, European Smelt (Sparling), Brown Trout and sea trout, Atlantic Salmon"
FS0504,17-Aug-89,Girlsta Hatchery,HU431506,Shetland,Yes,Girlsta,,,ZE2 9SQ,,Fish,Freshwater,High,443100,1150600,Not in a management area,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
SS0687,29-Apr-03,Glas Eilean (Linngeam),NB138334,Western Isles,No,West Earshader,Bernera,,HS2 9LP,,Shellfish,Seawater,Medium,113800,933400,6a - Loch Roag,Western Isles,Loch Fyne Oysters Ltd,"N/A, Common mussel"
FS0945,09-Mar-99,Glen Mor,NG859401,Highland,No,Glen Mor Estate,Lochcarron,Ross-shire,IV54 8XG,,Fish,Freshwater,Medium,185900,840100,Not in a management area,Highland,River Carron Restoration Project,"N/A, Brown Trout and sea trout, Atlantic Salmon"
FS0544,07-Jun-90,Glen Orrin Fish Farm,NH504531,Highland,Yes,Orrin Bridge,Ross-shire,Ross-shire,IV6 7UL,,Fish,Freshwater,Low,250400,853100,Not in a management area,Highland,Glen Orrin Fish Farm,"N/A, Rainbow Trout"
FS0590,17-Aug-89,Glenan Bay,NR918695,Argyll and Bute,Yes,Portavadie Fish Farm,Millhouse Tighnabruaich,Argyll,PA21 2DA,,Fish,Seawater,Medium,191800,669500,19a - Fyne,Strathclyde,Bakkafrost Scotland,"N/A, Lumpsucker, Atlantic Salmon, Wrasse"
FS0689,18-Sep-91,Glencoul,NC245320,Highland,No,N/A,,,,,Fish,Seawater,,224500,932000,,Highland,Wester Ross Fisheries Ltd,"N/A, Atlantic Salmon"
FS0690,18-Sep-91,Glencoul,NC023338,Highland,No,N/A,,,,,Fish,Seawater,,202300,933800,,Highland,Wester Ross Fisheries Ltd,"Atlantic Salmon, N/A"
FS1094,26-May-06,Glencripesdale,NM678607,Highland,No,N/A,,,,,Fish,Seawater,Medium,167800,760700,,Highland,Mowi Scotland Ltd,"Lumpsucker, Wrasse, Atlantic Salmon, N/A"
FS0742,08-Jan-92,Glenfinnan,NM887792,Highland,Yes,The Cottage,Guesachan Polloch Forestry Road,Inverness-shire,PH37 4LU,,Fish,Freshwater,Low,188700,779200,Not in a management area,Highland,Mowi Scotland Ltd,"Atlantic Salmon, N/A"
FS1320,31-Jul-18,Glenforsa Hatchery,NM596426,Argyll and Bute,Yes,Glenforsa Estate,"Glenforsa, Aros",,PA72 6JN,,Fish,Freshwater,Low,159600,742600,Not in a management area,Strathclyde,Benmore Estate Ltd,"Atlantic Salmon, N/A"
FS0134,18-Sep-91,Glenkens,NX607907,Dumfries and Galloway,Yes,Dalry,Dumfries and Galloway,Dumfries and Galloway,DG7 3TB,,Fish,Freshwater,Low,260700,590700,Not in a management area,Dumfries & Galloway,Kames Fish Farming Ltd,"Rainbow Trout, N/A"
FS1124,02-Jun-09,Glenkinglass,NN164380,Argyll and Bute,No,Glenkinglass Estate,by Taynuilt,Argyll,-,,Fish,Freshwater,N/A,216400,738000,Not in a management area,Strathclyde,Glenstrae Farmers,"Atlantic Salmon, Brown Trout and sea trout, N/A"
FS1099,24-Oct-06,Gletness,HU466507,Shetland,Yes,Wadbister,Girlsta,,ZE2 9SQ,,Fish,Seawater,Low,446600,1150700,2b - SE Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, Lumpsucker, N/A"
SS0736,09-Jun-05,Gob Glas,NB351205,Western Isles,Yes,10 Ranish,Lochs,,HS2 9NN,,Shellfish,Seawater,High,135100,920500,5a - E Lewis,Western Isles,Western Isles Mussels,"Common mussel, N/A"
SS0626,28-Feb-01,Gob Sgrithir,NB122326,Western Isles,Yes,11 Kneep,Uig,,HS2 9HS,,Shellfish,Seawater,Low,112200,932600,6a - Loch Roag,Western Isles,Uig Seafare Ltd,"N/A, Common mussel"
FS0683,18-Sep-91,Gob a Bharra,NR904768,Argyll and Bute,Yes,Stronachullin,Tarbert Road,"ArdrIshaig, Argyll",PA30 8ET,,Fish,Seawater,Medium,190400,676800,19a - Fyne,Strathclyde,Bakkafrost Scotland,"Atlantic Salmon, Lumpsucker, N/A, Wrasse"
FS1175,23-Mar-10,Gob na Hoe,NG189546,Highland,Yes,Dunvegan Pier,Dunvegan,Skye,IV55 8WF,,Fish,Seawater,Low,118900,854600,12b - Dunvegan,Highland,Loch Duart Ltd,"N/A, Lumpsucker, Atlantic Salmon, Wrasse"
FS1267,12-Nov-12,Gometra,NM361424,Argyll and Bute,Yes,Ulva Ferry,Argyll,Argyll,PA73 6LY,,Fish,Seawater,Medium,136100,742400,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,"Atlantic Salmon, N/A, Wrasse, Lumpsucker"
SS0029,28-Oct-85,Gometra Farm,NM353406,Argyll and Bute,No,"Isle of Gometra,","Ulva Ferry,",Mull,-,,Shellfish,Seawater,Low,135300,740600,"16a - Tuath, na Keal",Strathclyde,Gometra Farm,"Pacific Oyster, N/A"
SS0030,28-Oct-85,"Gometra Farm,  South  Harbour",NM371403,Argyll and Bute,No,"Isle of Gometra,","Ulva Ferry,",Mull,-,,Shellfish,Seawater,Low,137100,740300,"16a - Tuath, na Keal",Strathclyde,Gometra Farm,"Pacific Oyster, N/A"
FS0237,21-Oct-85,Gorsten,NN061706,Highland,Yes,Gorsten,Ardgour,"Fort William, Inverness-shire",PH33 7AH,,Fish,Seawater,Medium,206100,770600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Mowi Scotland Ltd,"N/A, Atlantic Salmon, Lumpsucker, Wrasse"
FS0998,17-Jul-00,Gousam,NB111339,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,111100,933900,6a - Loch Roag,Western Isles,Bakkafrost Scotland,"Wrasse, N/A, Lumpsucker, Atlantic Salmon"
SS0978,09-Nov-23,Granton Hatchery,NT238775,City of Edinburgh,New,6/1 Lochend Park,,,EH7 6BT,07774 103405,Shellfish,Seawater,High,323800,677500,,Lothian,Seahunter Marine,"N/A, European lobster, Flat or native oyster"
FS0242,01-Jan-89,Gravir,NB413146,Western Isles,Yes,Gravir,South Lochs,,HS2 9QX,,Fish,Seawater,Low,141300,914600,5a - E Lewis,Western Isles,Bakkafrost Scotland,"N/A, Atlantic Salmon, Lumpsucker, Wrasse"
FS1282,23-Dec-13,Greanamul,NF884481,Western Isles,Yes,Loch A Laip,Western Isles,Western Isles,HS7 5QH,,Fish,Seawater,Medium,88400,848100,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,"Lumpsucker, N/A, Wrasse, Atlantic Salmon"
FS0304,01-Feb-94,Greinam Island,NB202357,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,120200,935700,,Western Isles,Bakkafrost Scotland,"Atlantic Salmon, N/A"
FS1122,14-May-09,Grey Horse Channel,NF984754,Western Isles,Yes,Hoebeg Cheesebay,Lochmaddy,,HS6 5AT,,Fish,Seawater,Medium,98400,875400,5c - E North Uist,Western Isles,Mowi Scotland Ltd,"Atlantic Salmon, Wrasse, Lumpsucker, N/A"
FS1334,18-Sep-19,Grey Horse Channel Outer,NF993754,Western Isles,Yes,Hoebeg Cheesebay,Lochmaddy,,HS6 5AT,,Fish,Seawater,Medium,99300,875400,5c - E North Uist,Western Isles,Mowi Scotland Ltd,"Lumpsucker, Wrasse, N/A, Atlantic Salmon"
FS0051,31-Oct-94,Grimsay,NF886558,Western Isles,Yes,N/A,,,,,Fish,Seawater,Medium,88600,855800,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,"Atlantic Salmon, N/A, Lumpsucker, Wrasse"
SS0526,25-Jan-94,Grink Holm,HU302595,Shetland,Yes,Cribba Sound,Shetland,,-,,Shellfish,Seawater,Medium,430200,1159500,4a - South St Magnus Bay,Shetland,Cribba Sound Ltd,"N/A, Common mussel"
FS1083,08-Sep-04,Groatay,NF977739,Western Isles,Yes,Hoebeg Cheesebay,Lochmaddy,,HS6 5AT,,Fish,Seawater,Medium,97700,873900,5c - E North Uist,Western Isles,Mowi Scotland Ltd,"Wrasse, Lumpsucker, Atlantic Salmon, N/A"
SS0869,23-Aug-13,Gruna,HU285598,Shetland,No,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,428500,1159800,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,"Common mussel, N/A"
SS0698,07-Aug-03,Grunigill,HU288567,Shetland,Yes,Grunigill,"Brindister Voe, Vementry",,ZE2 9NT,,Shellfish,Seawater,Medium,428800,1156700,4a - South St Magnus Bay,Shetland,A J Walterson,"N/A, Common mussel"
SS0905,03-Apr-17,Grunna Voe,HU460614,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,446000,1161400,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Shetland Mussels Ltd,"Common mussel, N/A"
SS0969,15-Feb-23,Grunna Voe (Outer),HU462621,Shetland,New,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,446200,1162100,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
FS1113,17-Jul-08,Gunnister Voe,HU303735,Shetland,No,N/A,,,,,Fish,Seawater,,430300,1173500,Not in a management area,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
SS0891,10-Dec-14,Gunnister Voe,HU311742,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,431100,1174200,4c - N St Magnus Bay,Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
FS0290,01-Jan-86,Habost Hatchery,NB333198,Western Isles,No,N/A,,,,,Fish,Freshwater,,133300,919800,,Western Isles,Mowi Scotland Ltd,"Atlantic Salmon, N/A"
SS0685,29-Apr-03,Hacklete,NB145343,Western Isles,Yes,West Earshader,Bernera,,HS2 9LP,,Shellfish,Seawater,Medium,114500,934300,6a - Loch Roag,Western Isles,Loch Fyne Oysters Ltd,"N/A, Common mussel"
FS1114,17-Jul-08,Hamar Sound,HU297759,Shetland,No,N/A,,,,,Fish,Seawater,Medium,429700,1175900,,Shetland,Scottish Sea Farms Ltd,"Lumpsucker, Atlantic Salmon, N/A"
SS0833,05-Sep-11,Hamar Voe,HU306760,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,430600,1176000,4c - N St Magnus Bay,Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
FS0904,18-Jul-97,Hamars Ness,HU588949,Shetland,No,N/A,,,,,Fish,Seawater,,458800,1194900,,Shetland,Cooke Aquaculture Scotland Ltd,"N/A, Atlantic Salmon"
SS0705,16-Feb-04,Hamnavoe,HU237802,Shetland,Yes,N/A,,,,,Shellfish,Seawater,Low,423700,1180200,Not in a management area,Shetland,Cribba Sound Ltd,"N/A, Common mussel"
SS0717,20-Aug-04,Hamnavoe,HU489794,Shetland,No,Cullivoe Pier,Yell,,ZE2 9DD,,Shellfish,Seawater,Low,448900,1179400,2c - NE Shetland mainland,Shetland,C&A Thomason Ltd,"N/A, Common mussel"
FS1144,03-Mar-10,Hamnavoe,HU495726,Shetland,No,N/A,,,,,Fish,Seawater,Medium,449500,1172600,2c - NE Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Lumpsucker, Atlantic Salmon, N/A"
SS0810,16-Jul-09,Hamnaway,NB026197,Western Isles,No,N/A,,,,,Shellfish,Seawater,Low,102600,919700,,Western Isles,Loch Fyne Oysters Ltd,"N/A, Common mussel"
FS0855,05-Nov-98,Harvest Station,HU336476,Shetland,No,N/A,,,,,Fish,Seawater,,433600,1147600,,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
FS0185,10-Aug-87,Hatchery,NG958216,Highland,No,N/A,,,,,Fish,Freshwater,,195800,821600,,Highland,Kintail Hatchery,"N/A, Atlantic Salmon"
SS0611,01-Nov-00,Hawksness,HU607980,Shetland,Yes,Maundeville,"Uyeasound, Unst",,ZE2 9DL,,Shellfish,Seawater,Low,460700,1198000,"1b - S Unst, E Yell, Fetlar",Shetland,Unst Shellfish,"Common mussel, N/A"
FS0758,18-Oct-96,Heights,HU344657,Shetland,No,N/A,,,,,Fish,Seawater,N/A,434400,1165700,,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
FS1261,23-Feb-12,Hellisay,NF759032,Western Isles,Yes,Sound of Hellisay Salmon Farm,Ardveenish North Bay,Isle of Barra Western Isles,HS9 5YA,,Fish,Seawater,Low,75900,803200,7c - Barra,Western Isles,Mowi Scotland Ltd,"Wrasse, N/A, Lumpsucker, Atlantic Salmon"
SS0614,05-Dec-00,Heocksness,HU256476,Shetland,Yes,Primrose Cottage,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,425600,1147600,"3b - Gruting, Vaila, Walls",Shetland,A&C Tait,"Common mussel, N/A"
SS0782,08-Jun-07,Hevden Ness,HU357658,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,435700,1165800,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,"N/A, Common mussel"
FS1053,04-Feb-03,Hogan,HU262474,Shetland,Yes,Burrastow,Walls,,ZE2 9DP,,Fish,Seawater,Low,426200,1147400,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,"Wrasse, Lumpsucker, Atlantic Salmon, N/A"
FS0822,22-May-02,Hoghill Fish Farm,NY370895,Dumfries and Galloway,Yes,Aswing,Buccleuch Square,Langholm Dumfries-shire,DG13 0AW,,Fish,Freshwater,Medium,337000,589500,Not in a management area,Dumfries & Galloway,Hoghill Trout Farm Ltd,"Rainbow Trout, Brown Trout and sea trout, N/A"
FS0154,01-Mar-77,Hole Bay,NF840404,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,84000,840400,,Western Isles,Bakkafrost Scotland,"N/A, Atlantic Salmon"
SS0749,16-Sep-05,Holm of Brough,HU386356,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438600,1135600,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,"N/A, Common mussel"
FS0166,24-Apr-85,Holm of Gruting,HU272476,Shetland,No,N/A,,,,,Fish,Seawater,Low,427200,1147600,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,"N/A, Atlantic Salmon"
FS0749,27-Mar-95,Holms Geo,HU390313,Shetland,Yes,North House,Taing Burra Isle,Shetland,-,,Fish,Seawater,Medium,439000,1131300,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Lumpsucker, Wrasse, Atlantic Salmon, N/A"
SS0808,14-May-09,Holms of Uyeasound,HU312607,Shetland,Yes,Vementry,"Aith, Bixter",,ZE2 9ND,,Shellfish,Seawater,Medium,431200,1160700,4a - South St Magnus Bay,Shetland,Vementry Aquaculture,"Common mussel, N/A"
FS0614,17-Jan-92,Holywood Breeding Centre,NX976782,Dumfries and Galloway,Yes,Holywood Breeding Centre,Holywood,,DG2 0RJ,,Fish,Freshwater,Medium,297600,578200,Not in a management area,Dumfries & Galloway,AquaGen Scotland Ltd,"N/A, Atlantic Salmon"
SS0856,10-Apr-13,Houbanster,HU349619,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,434900,1161900,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
SS0605,05-Sep-00,Houss,HU386320,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,438600,1132000,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
FS1105,15-Jun-07,Human Genetics Unit,NT231752,City of Edinburgh,Yes,Edinburgh Cancer Research Centre,University of Edinburgh,"Crewe Road South, ",EH4 2XR,,Fish,Freshwater,Low,323100,675200,Not in a management area,Lothian,Medical Research Council,"Zebrafish, N/A"
FS1337,09-Jan-20,Hunda,ND445977,Orkney,Yes,Scottish Sea Farms,5 Ferry Terminal Building,The Pier,KW15 1HU,,Fish,Seawater,Medium,344500,997700,8c - Scapa Flow,Orkney,Scottish Sea Farms Ltd,"Atlantic Salmon, Wrasse, N/A, Lumpsucker"
SS0947,03-Feb-21,Huney,HP648068,Shetland,Yes,Maundeville,"Uyeasound, Unst",,ZE2 9DL,,Shellfish,Seawater,Low,464800,1206800,1a - E Unst,Shetland,Unst Shellfish,"Common mussel, N/A"
FS0601,01-Jan-81,Hunterston,NS179514,North Ayrshire,No,N/A,,,,,Fish,Seawater,,217900,651400,,Strathclyde,Scottish Sea Farms Ltd,"Turbot, N/A"
SS0228,01-May-87,Hunterston Terminal -  Fairlie,NS199543,North Ayrshire,Yes,Yonderfield Farm,"Portencross, West Kilbride",Ayrshire,KA23 9PY,,Shellfish,Seawater,Medium,219900,654300,Not in a management area,Strathclyde,Cumbrae Oysters Ltd.,"Manilla Clam, N/A, Pacific Oyster"
FS0593,06-Jan-88,Inch Kenneth,NM450364,Argyll and Bute,Yes,N/A,,,,,Fish,Seawater,Medium,145000,736400,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,"Atlantic Salmon, N/A, Wrasse, Lumpsucker"
FS0226,03-Sep-82,Inchmore,NH301126,Highland,Yes,Dalchreichart,Glenmoriston,Inverness-shire,IV63 7YN,,Fish,Freshwater,High,230100,812600,Not in a management area,Highland,Mowi Scotland Ltd,"N/A, Atlantic Salmon"
FS0830,17-Dec-93,Incubation Shed,NG948213,Highland,No,N/A,,,,,Fish,Freshwater,,194800,821300,,Highland,Kintail Hatchery,"Atlantic Salmon, N/A"
SS0862,11-Jun-13,"Inner Collafirth, Delting",HU436694,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,443600,1169400,2c - NE Shetland mainland,Shetland,Blueshell Mussels Ltd,"N/A, Common mussel"
